,missing_count,missing_pct,feature_group
population_2020,0,0.0,socioeconomic
population_2024,0,0.0,socioeconomic
pop_growth_rate_pct,0,0.0,socioeconomic
poverty_incidence_2018_pct,92,5.65,socioeconomic
poverty_incidence_2021_pct,93,5.71,socioeconomic
poverty_incidence_2023_pct,93,5.71,socioeconomic
births_occurrence_both,176,10.8,socioeconomic
births_occurrence_male,176,10.8,socioeconomic
births_occurrence_female,176,10.8,socioeconomic
births_residence_both,176,10.8,socioeconomic
births_residence_male,176,10.8,socioeconomic
births_residence_female,176,10.8,socioeconomic
atm,0,0.0,infrastructural
bank,0,0.0,infrastructural
bar,0,0.0,infrastructural
bus_station,0,0.0,infrastructural
cafe,0,0.0,infrastructural
community_centre,0,0.0,infrastructural
fast_food,0,0.0,infrastructural
fuel,0,0.0,infrastructural
parking,0,0.0,infrastructural
pharmacy,0,0.0,infrastructural
place_of_worship,0,0.0,infrastructural
police,0,0.0,infrastructural
post_office,0,0.0,infrastructural
restaurant,0,0.0,infrastructural
school,0,0.0,infrastructural
shelter,0,0.0,infrastructural
toilets,0,0.0,infrastructural
townhall,0,0.0,infrastructural
